Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/3/2019,18:00,5/3/2019,19:00,1 hour,"Writer's Block ","Lit","Author Office Hours with Jen Haeger","Jen Haeger","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
5/4/2019,10:00,5/4/2019,11:00,1 hour,"Writer's Block ","Lit","Author Office Hours with Michael W. Lucas","Michael W. Lucas","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
5/4/2019,12:00,5/4/2019,13:00,1 hour,"Writer's Block ","Lit","Author Office Hours with Nicole E. Castle","Nicole E. Castle","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
5/4/2019,13:00,5/4/2019,14:00,1 hour,"Writer's Block ","Lit","Author Office Hours with Michael Cieslak and Mary Lynne Gibbs","Mary Lynne Gibbs, Michael Cieslak","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
5/4/2019,14:00,5/4/2019,15:00,1 hour,"Writer's Block ","Lit","Author Office Hours with Vik Walker and Ken Schrader","Vik K. Walker, Ken Schrader","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
5/4/2019,16:00,5/4/2019,17:00,1 hour,"Writer's Block ","Lit","Author Office Hours with Diana Kathryn Plopa and Jean Davis","Jean Davis, Diana Kathryn Plopa","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
5/4/2019,17:00,5/4/2019,18:00,1 hour,"Writer's Block ","Lit","Author Office Hours with BluRaven C. Houvener","BluRaven C. Houvener","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
5/4/2019,18:00,5/4/2019,19:00,1 hour,"Writer's Block ","Lit","Author Office Hours with G. S. Scott","G.S. Scott","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
5/5/2019,11:00,5/5/2019,12:00,1 hour,"Writer's Block ","Lit","Author Office Hours with Christian Klaver and David Erik Nelson","David Nelson, Christian Klaver","Have a question about life- the universe- or publishing? Come chat with the author and find out all the answers to your burning questions.",FALSE,PUBLIC,""
